Hour,Occupancy/Capacity Sum,Occupancy/Capacity Avrg
5.2,2.108931822962,0.000655354823791795
5.21,2.14263375618371,0.000665827767614577
5.22,1.45134978330433,0.000451009876726018
5.23,0.927187650550221,0.00028812543522381
5.24,0.396622626285313,0.000123251282251496
5.25,0.451533173841805,0.000140314845817839
5.26,0.597662019501085,0.000185724679770381
5.27,0.650161570046814,0.000202039021145685
5.28,0.635948439397404,0.000197622262087447
5.29,0.537099951477748,0.000166904894803526
5.3,0.277078049345619,8.61025635008138E-05
5.31,0.310840652209024,9.65943605372978E-05
5.32,0.38681138358664,0.000120202418765271
5.33,0.324405282097428,0.000100809596674154
5.34,1.80817089913994,0.00056189275921067
5.35,2.96029869624539,0.00091991879933045
5.36,2.43980724099818,0.000758175028277868
5.37,1.98808475043141,0.000617801351905348
5.38,1.74349273478758,0.000541793888995518
5.39,1.2994431411658,0.000403804580847047
5.4,0.98408004817137,0.000305804862700861
5.41,0.854674141522513,0.000265591715824274
5.42,1.13579060420687,0.000352949224427242
5.43,0.780952973710336,0.000242682714018128
5.44,0.324184927366976,0.000100741120996574
5.45,0.544826099368134,0.000169305810866418
5.46,0.719272016969404,0.000223515232122251
5.47,0.344060020593892,0.000106917346362303
5.48,0.304364444273504,9.45818658401192E-05
5.49,2.65700083752369,0.000825668377104936
5.5,3.10593355776441,0.000965175126713614
5.51,3.2460822449349,0.00100872661433651
5.52,3.25555186592363,0.00101166931818634
5.53,2.53326105856017,0.000787215990851512
5.54,1.53602579443055,0.000477323118219561
5.55,1.56791434118533,0.000487232548534907
5.56,0.989343053319732,0.000307440352181396
5.57,0.527473692103292,0.000163913515258947
5.58,0.257855416280914,8.01290914483883E-05
5.59,0.502336477126048,0.000156102074930407
6,0.843436943132233,0.000262099733726611
6.01,0.484847383724613,0.000150667303829898
6.02,0.522993409072348,0.000162521258257411
6.03,0.451485274758723,0.00014029996108102
6.04,2.60380618120554,0.000809138030206818
6.05,3.06700429503639,0.000953077779688127
6.06,2.69355792552189,0.000837028566041606
6.07,2.40120308424105,0.000746178708589511
6.08,2.50664119602586,0.000778943814799832
6.09,1.65842804691151,0.000515359865416878
6.1,1.28607256938407,0.000399649648658816
