NodeId,X,Y,Z,TotalTraffic
PLFQQXR,63.67591,1.6,50.92643,20
XGJOEZA,65.27682,1.6,40.87049,95
HQTQPGG,57.58375,1.6,38.66144,22
IQGQJKP,41.72402,1.6,38.02522,22
FWNHQOC,44.7865,1.6,41.27863,4
SEAGCAL,55.50312,1.6,50.30496,6
SLZFLHC,55.23695,1.6,56.66701,5
FYHICUF,48.53583,1.6,56.94313,1
ZBNUQFK,41.6764,1.6,54.79539,3
TUEAGKK,48.11217,1.6,75.86758,1
NNVGSKC,34.81171,1.6,79.85693,3
VAGVGKO,44.12568,1.6,75.69119,2
DBIUFZK,69.59772,1.6,74.34703,1
VPPPTDU,65.22455,1.6,74.35838,1
NSRREXE,74.95042,1.6,86.92358,1
WGBYWQV,69.49338,1.6,90.63354,1
DJJQLPW,69.25851,1.6,85.50995,1
DPXPZDF,64.06378,1.6,81.10631,1
UMOWHLU,60.27101,1.6,90.17802,3
GMPYDAZ,62.92775,1.6,101.9546,3
VLREGOC,57.38244,1.6,81.32556,3
CMRZOAH,51.84697,1.6,91.32442,1
OHAJVCC,44.79333,1.6,93.377,1
IXSOSAN,52.96754,1.6,82.36398,1
IRHRWLE,40.72522,1.6,79.37688,2
ZUPFHCK,42.49276,1.6,84.84666,1
UFZHFVW,77.63417,1.6,90.5425,31
QYGQRTN,59.2392,1.6,102.9516,1
VOIESTW,50.99787,1.6,105.1754,1
YVTKUKN,59.35032,1.6,107.2289,1
RMNGNUX,52.14963,1.6,109.7711,1
XGDXPYC,50.23318,1.6,123.3804,1
JEIDQUT,46.52865,1.6,123.0162,1
YPIUZWT,43.45967,1.6,122.334,1
WZMHFFG,45.42932,1.6,96.85654,1
HDZSXNV,40.45462,1.6,97.51701,1
OKHURLR,39.25608,1.6,107.6884,1
HNYCFJL,42.99662,1.6,97.05403,1
PAYGXPK,44.89146,1.6,108.4026,1
ABSALAE,41.34304,1.6,109.6032,1
UYTJIEX,191.5197,1.6,132.7511,1
WWAJVDD,194.2868,1.6,121.5526,1
VBIQPWW,191.2011,1.6,119.598,1
ZZQLIMZ,188.1794,1.6,117.7941,1
OBXEIFL,185.036,1.6,116.4221,1
RRKOPFQ,193.1239,1.6,95.46043,1
QDOTNFO,191.356,1.6,98.78048,1
UMZCLPC,190.1175,1.6,101.4784,1
GYNBYYH,187.9965,1.6,104.6822,1
SSHHZTU,185.8096,1.6,107.8115,1
LCCVODV,184.0807,1.6,111.4475,1
FQSJLOV,181.9257,1.6,114.0174,1
VEBZGWB,182.1266,1.6,105.9598,1
VEWEEPW,178.1736,1.6,112.4927,1
VNDGLLW,187.4464,1.6,132.3466,1
LJUWLUZ,183.9382,1.6,131.4574,1
WHZWHFB,180.4512,1.6,130.5725,1
QZCDMFI,177.3373,1.6,129.5143,1
IKIDDPZ,173.6379,1.6,128.6702,1
RYBQOZT,170.3785,1.6,126.6796,1
DQXAHBQ,174.1683,1.6,118.9568,1
LJKRXKC,185.5126,1.6,99.31068,1
TOZCZEZ,189.9048,1.6,92.98005,1
QBHYVVF,182.5876,1.6,97.35075,1
GYJDUFO,179.1082,1.6,91.50327,1
SCVWDJP,177.6209,1.6,93.76373,1
YRKDTLN,180.5258,1.6,100.3506,1
XSVVQPL,179.0819,1.6,104.0622,1
QPMDQNU,176.7288,1.6,106.686,1
QBZNMSM,175.2295,1.6,110.5138,1
GNXFUVT,173.0736,1.6,113.8358,1
UWGHOJK,170.6105,1.6,117.1084,1
FSUMLQF,168.6333,1.6,120.5059,1
TBOKRJU,167.3015,1.6,123.4748,1
JCVNOBE,164.1525,1.6,77.95103,1
YKCQVDT,162.3648,1.6,81.48479,1
PTNMZSS,160.3061,1.6,84.45018,1
GLZHOCO,158.3494,1.6,87.55621,1
WRSNYKN,156.6944,1.6,91.24361,1
